NIDID,State,Latitude,Longitude,Year_Completed,Reservoir_Age,Hydraulic_Height,NID_Height,Maximum_Discharge,Maximum_Storage,Normal_Storage,NID_Storage,Surface_Area_km2,Size_Class,Drainage_Area_km2,Reservoir_Perimeter_km,Shoreline_Development_Index,Mean_Depth,Index_of_Basin_Permanence,Development_of_Volume,Maximum_Depth_in_ft_as_Hydraulic,Mean_Depth_Max_Depth_Ratio_Depth,Mean_Q,Catchment_Area_Surface_Area_Rati,Relative_Depth_as_percent_of_the,Surface_Area_Lake_Volume_Ratio,Lake_Volume_m3,AreaSqKm,Elevation,MEANV,STRAHLER,NUTCODE,PSEWER,PSEPTIC,POTHER,WATER,WETLANDS,URBGRASS,LURBAN,HURBAN,COMM,FORESTD,FORESTE,FORESTM,SHRUB,GRASS,PASTURE,CROPS,ORCHARDS,BARREN,TNLOADB,TPLOADB,TNYLDB,TPYLDB,TNCONCB,TPCONCB,TNLOADBW,TNYLDBW,TNCONCBW,TNLOAD,TPLOAD,TNYLD,TPYLD,TNCONC,TPCONC,TNPOINT,TPPOINT,TNFERT,TPFERT,TNATMOS,TNFOREST,TPFOREST,TNBARREN,TPBARREN,TNSHRUB,TPSHRUB,TNGRASS,TPGRASS,TNMAN,TPMAN,TNDFRAC,TPDFRAC,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,CLUSID,CONN_TR,X_NUTRI,ALGAE,SEDIMEN,SHOREER,NOCOVES,N_ALLOC,WS_AGRI,WS_ANIM,WS_LOGS,WS_MINE,WS_URBN,N_NUTRI,IN_TURB,OR_TURB,VAR_TUR,THERMAL,CONTAMN,POLL_PS,POLLNPS,total_impairment,WSA9,WSA9_NAME,Poll_clus
AL01420,AL,33.94167,-87.10833,1961,54,210,300,317800,1670600,1390000,1670600,104.004302,Large,2444.95056,874.9523249,24.2021322,65.00374182,0.510313993,0.928624883,210,0.309541628,249.591,23.50817121,0.172176275,0.060660277,1714.5372,79.57,,1.12,2,11,51,45,3,1.4,0,0.3,0.2,0,0.4,31.7,23.4,26.1,0,0,7.2,1.6,0,7.7,28484,3422,87,10,0.15,0.02,38901,119,0.2,263014,22915,807,70,1.2,0.11,5,7,10,3,26,21,19,8,7,0,0,0,0,30,64,0.67842,0.21207,15.91549969,13.39433289,40.14606857,771.5961914,32.4679985,-0.895999968,33.36399841,7.782000065,21.51866722,25.24133301,6.197333336,1459,167,87,19.58302307,440,280,319,416,SAP 1,1,1,2,2,2,2,0,1,1,2,1,1,2,1,1,2,0,1,1,1,25,SAP,Southern Appalachians,1
AL05903,AL,34.455,-87.982,1975,40,79,84,18700,41400,21100,41400,3.8849856,Small,157.98939,0,0,43.124901,0,1.637654468,79,0.545884823,,40.66666667,0.591008882,0.149270795,26.026428,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38516617,13.32900047,39.53784943,782.7772217,32.09199905,-1.620000005,33.71199799,15.23133278,20.96666718,24.81999969,5.465333462,1477,164,87,20.46168518,447,279,301,413,CPL 1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,1,18,CPL,Coastal Plains,1
AL01417,AL,33.42667,-86.33833,1964,51,95,142,167000,650000,273000,650000,121.4058,Large,19942.923,542.7771491,13.89622154,21.66661693,1.611858064,0.684208956,95,0.228069652,12625.4,164.2666667,0.053116811,0.360532712,336.74004,67.527,,3.2,4,11,59,40,1,1.7,0.6,0.5,1.2,0.2,0.8,33.5,18.8,25.5,0,0,10.8,4.8,0,1.7,1532841,250872,75,12,0.12,0.02,2129445,104,0.17,12595984,861727,616,42,1.13,0.08,15,15,20,9,23,19,21,1,2,0,0,0,0,22,53,0.88269,0.59195,16.55016708,13.77500057,41.71208572,748.526123,32.84400177,-0.180000007,33.02400208,8.70933342,21.91466713,25.59466743,7.123333454,1404,167,81,19.41937447,433,272,323,384,SAP 1,1,1,0,1,1,1,2,1,1,2,1,2,1,1,1,1,0,4,4,2,28,SAP,Southern Appalachians,7
AL01413,AL,31.361,-86.5184,1925,90,41,56,100000,2300,2300,2300,2.832802,Small,3265.97739,29.60531077,4.961995947,3.285706743,10.43541383,0.240417567,41,0.080139189,849.554,1152.914286,0.052732856,0.99851886,2.837004,2.471,51.8,1.9,2,9,65,34,1,0.9,7.3,0.1,0.1,0,0.1,16.1,24.8,30.8,0,0,6.3,9.7,0,3.8,98307,31298,60,19,0.13,0.04,131327,79,0.17,629843,57475,381,35,0.84,0.08,6,5,25,19,26,21,24,4,6,0,0,0,0,17,46,0.88407,0.61644,18.3876667,13.68800068,44.66196823,670.9454956,33.19599915,2.547999859,30.64799881,11.31200027,19.08666611,26.35066605,9.917333603,1511,170,75,19.57713699,448,290,414,413,CPL 4,4,2,2,4,3,3,1,3,3,4,1,3,4,4,1,3,5,3,3,3,59,CPL,Coastal Plains,6
AL01425,AL,32.68,-85.91167,1926,89,163,168,302000,1622000,1622000,1622000,161.8744,Large,7769.97,1220.170854,27.05368645,40.54990691,0.609870582,0.746317305,163,0.248772435,147.852,48,0.086091719,0.080908697,2000.70456,162.63,,0.71,3,9,41,57,2,0.2,4.3,0.2,0.4,0,0.2,23.8,30.5,31.6,0,0,5.4,3,0,0.5,28778,7886,71,19,0.14,0.04,38791,96,0.19,129249,10738,318,26,0.98,0.09,8,10,13,11,36,35,51,1,1,0,0,0,0,7,26,0.76757,0.31255,17.49449921,12.64299965,40.9370575,708.0609131,32.61999893,1.736000061,30.88399887,9.859333038,22.73800087,25.95800018,8.498000145,1448,172,72,22.274189,448,274,348,416,SAP 1,1,1,1,1,2,1,1,2,2,3,1,1,3,1,1,2,1,1,1,2,29,SAP,Southern Appalachians,1
AL01414,AL,31.4032,-86.4796,1924,91,36,44,33000,14645,14645,14645,11.19766162,Medium,1598.02383,63.4495825,5.348844719,5.292723665,3.512426788,0.441060305,36,0.147020102,849.554,142.7105168,0.042724418,0.619877469,18.0643146,7.355,60,1.9,2,9,65,34,1,0.9,7.3,0.1,0.1,0,0.1,16.1,24.8,30.8,0,0,6.3,9.7,0,3.8,98307,31298,60,19,0.13,0.04,131327,79,0.17,629843,57475,381,35,0.84,0.08,6,5,25,19,26,21,24,4,6,0,0,0,0,17,46,0.88407,0.61644,18.3093338,13.50266647,44.20726395,671.1939087,33.06800079,2.523999929,30.54400063,11.22599983,19.02266693,26.27666664,9.829333305,1492,169,75,19.54478836,445,287,406,409,CPL 4,4,2,1,4,3,1,1,3,3,4,1,3,3,5,1,4,1,3,3,4,54,CPL,Coastal Plains,8
AL01435,AL,32.10167,-87.4,1970,45,55,100,183700,331800,331800,331800,69.605992,Medium,53449.62363,153.4534955,5.188578158,19.29065339,0.374945626,1.052217458,55,0.350739153,29402.2,767.8883721,0.062457447,0.170074081,409.268664,7.798,24.4,4.04,5,9,62,37,1,1.7,3.6,0.4,0.9,0.2,0.6,30,18.1,25.8,0,0,10.3,6.7,0,1.8,3520283,934166,65,17,0.12,0.03,4788093,89,0.16,18238338,1456053,338,27,0.7,0.06,16,15,21,13,25,20,25,2,3,0,0,0,0,16,44,0.96227,0.88534,18.06716728,13.43433285,42.39564514,709.7753296,33.48400116,1.796000004,31.68800163,10.64733315,23.23066711,26.54133224,9.107333183,1410,167,67,23.46786118,441,253,335,420,CPL 4,4,3,1,5,4,4,2,3,3,3,0,2,1,4,4,3,3,2,2,4,57,CPL,Coastal Plains,6
AL01415,AL,34.1721,-85.7539,1961,54,49,85.5,350000,306400,306400,306400,122.215172,Large,13657.01727,520.8316232,13.29014364,10.14567207,1.378086481,0.621163596,49,0.207054532,653.273,111.7456954,0.024790133,0.323373368,377.938272,103.272,,1.37,3,11,48,51,1,1.2,0.3,0.5,0.8,0.1,0.4,31.4,18.2,26.1,0,0,15,4.5,0,1.6,92400,11976,82,11,0.13,0.02,128019,114,0.18,716748,71226,638,63,1.23,0.13,11,13,27,12,25,20,27,2,3,0,0,0,0,15,46,0.79854,0.33752,15.64233303,12.87800026,39.0384407,775.4489746,31.93999863,-1.047999978,32.98799896,11.06333351,21.2033329,24.99199867,5.83133316,1435,167,81,20.53242683,437,276,312,408,SAP 3,2,4,3,3,3,2,4,3,2,2,1,1,1,3,3,2,0,3,1,3,46,SAP,Southern Appalachians,4
AL01424,AL,32.805,-86.44666,1923,92,60,106,510000,172000,172000,172000,23.674131,Medium,25451.83173,199.3597056,11.55833431,29.4016419,0.939673165,1.470082095,60,0.490027365,16184.9,1075.090598,0.16322819,0.111586971,212.15856,21.854,,3.46,4,9,59,40,1,1.7,0.8,0.4,1.1,0.2,0.7,33.9,18.8,26,0,0,10,4.6,0,1.8,1948944,346958,76,14,0.13,0.02,2683940,105,0.18,14281003,957381,559,37,1,0.07,15,15,20,9,24,20,25,2,2,0,0,0,0,20,49,0.92059,0.77671,17.28300095,12.82933331,40.78501511,722.6500244,32.69599915,1.24000001,31.45599937,9.688666344,22.50533295,25.9533329,8.118000031,1444,171,76,21.10139847,443,282,339,409,SAP 1,4,1,0,4,1,2,1,1,1,3,1,1,0,3,1,1,1,1,1,1,29,SAP,Southern Appalachians,2
AL83001,AL,33.3,-85.6,1983,32,121,163,310000,426000,426000,426000,43.14357446,Medium,3763.25547,195.3033245,8.387769075,39.95863634,0.371678915,0.990709992,121,0.330236664,2034.99,87.22633899,0.164328617,0.082105909,525.46248,19.743,,2.14,3,9,71,28,1,1.4,1,0.3,0.6,0.1,0.6,38.2,17.5,22,0,0,12.6,4.5,0,1.2,245413,75942,66,20,0.12,0.04,336873,91,0.17,2040674,264441,550,71,1.13,0.15,10,9,16,6,23,21,19,1,1,0,0,0,0,30,65,0.76558,0.31197,16.17866707,13.1206665,41.13577652,728.6155396,31.88399887,-0.012,31.895998,8.427332878,21.4766674,24.95866585,6.957333088,1444,170,83,20.53785515,448,271,329,414,SAP 1,1,1,1,1,2,1,2,1,1,2,0,0,3,1,1,2,0,1,1,2,24,SAP,Southern Appalachians,1
AL05901,AL,34.39667,-87.98833,1969,46,62,68,39100,39700,2550,39700,1.2949952,Small,598.28769,108.9525286,27.00835453,124.0622152,34.63897413,6.003010413,62,2.001003471,351.58,462,2.944869508,0.411714219,3.145374,16.443,176.8,1.31,2,9,33,66,1,2.2,0,0.2,0.3,0,0.3,36.5,12.5,21.1,0,0,17.1,8.3,0,1.5,36072,4474,100,12,0.17,0.02,49594,137,0.23,404554,18414,1121,51,0.8,0.04,5,7,33,7,19,13,14,1,1,0,0,0,0,29,71,0.7737,0.45191,15.38150024,13.39966679,39.72861481,781.4190063,32.09199905,-1.636000037,33.72800064,15.22200012,20.96133232,24.80599976,5.484666824,1480,164,87,20.61793518,447,279,301,416,CPL 1,0,1,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,8,CPL,Coastal Plains,1
AL01434,AL,32.32333,-86.78333,1971,44,70,110,653000,234200,234200,234200,49.776378,Medium,42043.30767,605.9758115,24.22916984,19.0406067,2.097665745,0.816026001,70,0.272008667,16811.9,844.6439024,0.072900371,0.172307543,288.881016,48.184,,3.51,4,9,60,39,1,1.7,0.9,0.4,1,0.2,0.7,33.7,18.7,26.2,0,0,10,4.8,0,1.7,2017723,375771,76,14,0.13,0.02,2774052,104,0.18,14585367,964174,548,36,0.98,0.07,15,15,20,10,24,20,25,2,2,0,0,0,0,20,48,0.92867,0.80977,18.15966606,12.75,41.13434219,712.9906006,33.27199936,2.276000023,30.99599838,10.71333313,23.27933311,26.68133354,9.15333271,1357,166,68,21.85622215,430,265,319,392,CPL 4,3,2,1,4,4,4,1,4,4,3,1,2,1,3,3,4,1,1,2,4,52,CPL,Coastal Plains,8
AL01422,AL,32.535,-85.88834,1930,85,45.85,62,430000,18250,18250,18250,2.32289764,Small,8546.967,0,0,31.7943521,0,2.080328381,45.85,0.693442794,,3679.442509,0.563502109,0.103189401,22.51101,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.98150063,13.09899998,41.71656036,718.9897461,33.15999985,1.75999999,31.39999962,10.38399982,23.15600014,26.55533218,8.854000092,1416,171,70,22.7836647,445,269,339,409,CPL 1,1,0,0,1,1,2,0,1,1,2,1,2,4,1,1,2,5,1,1,1,28,CPL,Coastal Plains,7
AL01421,AL,32.5744,-85.8893,1928,87,61,87,326500,54000,54000,54000,8.09372,Small,8417.4675,0,0,26.99993802,0,1.327865804,61,0.442621935,,1040,0.256359421,0.121512877,66.60792,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.73233414,12.88933372,41.3968811,713.390686,32.87200165,1.736000061,31.13600159,10.18733311,22.91799927,26.26733398,8.687999725,1434,172,71,22.73396301,449,272,344,415,CPL 1,1,0,0,1,1,2,0,1,1,2,1,2,4,1,1,2,5,1,1,1,28,SAP,Southern Appalachians,7
AL01979,AL,31.14739,-85.36489,1978,37,51,75,290000,60400,60400,60400,33.588938,Medium,14892.4425,0,0,7.277091728,0,0.428064219,51,0.142688073,,443.373494,0.033917225,0.450844963,74.502192,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.89299965,12.5720005,42.58230591,660.4959717,32.90000153,3.376000166,29.52400208,26.6400013,19.70199966,26.6400013,10.44533348,1364,152,69,20.81207848,399,252,399,383,CPL 3,1,2,1,3,3,2,0,2,2,2,1,1,0,2,2,2,0,1,1,1,29,CPL,Coastal Plains,2
AL09301,AL,34.27167,-87.695,1978,37,79,85,42000,36600,19300,36600,4.451546,Small,282.30891,0,0,33.27265089,0,1.263518388,79,0.421172796,,63.41818182,0.4259833,0.186991319,23.806164,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.24499989,12.98533344,38.83173752,783.3505249,31.76399994,-1.675999999,33.43999863,15.05000019,20.86999893,24.68600082,5.351333141,1510,168,88,19.40267944,449,290,315,423,SAP 1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,0,0,0,1,20,SAP,Southern Appalachians,1
AL01432,AL,31.62667,-85.06333,1962,53,101,171,631500,934400,934000,934400,182.8411817,Large,19321.3254,539.3712821,11.25241396,20.68121234,0.46817566,0.614293436,101,0.204764479,8589.21,105.6727385,0.041314223,0.158706616,1152.07032,141.312,,3.43,3,9,66,33,1,2.4,2.6,0.8,3.6,0.9,1.8,31.8,19.4,23.6,0,0,6.6,3.9,0,2.7,1167870,358554,74,23,0.13,0.04,1592483,100,0.18,8809573,564734,555,36,1.15,0.08,43,47,8,6,18,14,21,2,4,0,0,0,0,15,21,0.85408,0.34397,18.68099976,12.21199989,41.57135391,668.0371704,33.09999847,3.723999977,29.37599945,11.39799976,19.75133324,26.57799911,10.16933346,1340,150,59,24.40229225,419,232,372,392,CPL 4,3,4,2,4,4,4,1,4,3,4,1,3,1,3,3,3,2,3,3,4,59,CPL,Coastal Plains,6
AL05902,AL,34.545,-87.975,1979,36,92,99,34500,105740,29900,105740,8.3770002,Small,463.60821,108.9525286,10.61910566,51.08200834,2.954160001,1.665717663,92,0.555239221,351.58,55.34299517,0.476742977,0.227135609,36.881052,16.443,176.8,1.31,2,9,32,66,3,3.3,0.2,0.3,0.6,0.1,0.5,41.8,12.7,21,0,0,11.4,3.6,0,4.5,51313,12869,94,24,0.15,0.04,70838,130,0.21,347620,15804,638,29,1.12,0.05,6,7,21,5,27,19,22,4,6,0,0,0,0,22,60,0.72875,0.21483,15.32699966,13.22733307,39.16193008,787.4896851,32.0719986,-1.703999996,33.77599716,15.22399998,20.91200066,24.81866646,5.328000069,1466,162,87,19.95928955,442,278,301,405,CPL 1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,1,17,CPL,Coastal Plains,1
AL07701,AL,34.79833,-87.38167,1936,79,68,72,665000,1069000,720000,1069000,183.929787,Large,76637.8041,0,0,23.52029804,0,1.037660208,68,0.345886736,,416.6688669,0.046846526,0.20710351,888.1056,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.58116627,12.75566673,38.04481888,792.7751465,32.20399857,-1.324000001,33.52799988,15.26466656,21.31266594,25.12466621,5.526000023,1429,160,84,18.04132652,415,278,308,388,SAP 1,1,1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,0,0,2,3,25,SAP,Southern Appalachians,1
